,dandiset_id,species,asset_type,series_type,rate,mean_diff,std_diff
0,000003,House mouse,SpatialSeries,position_sensor1,39.0625,,
1,000003,,SpatialSeries,position_sensor0,39.0625,,
2,000010,House mouse,BehavioralTimeSeries,lick_trace,,9.999999999998764e-05,6.020662271244336e-15
3,000013,House mouse,BehavioralTimeSeries,amplitude,,0.001,5.964883464267159e-18
4,000017,House mouse,BehavioralTimeSeries,face_motion_energy,0.02524557875164268,,
5,000039,House mouse,BehavioralTimeSeries,running_speed,,0.03316629258517034,4.830033496546822e-06
6,000039,,BehavioralTimeSeries,eye_area,,0.03316629258517034,4.830033496546822e-06
7,000045,House mouse,BehavioralTimeSeries,position,,0.06499256178080695,0.3382382802768309
8,000049,House mouse,BehavioralTimeSeries,running_speed,,0.033242845691382764,4.512089802073646e-06
9,000049,,BehavioralTimeSeries,eye_area,,0.033242845691382764,4.512089802073646e-06
10,000050,House mouse,BehavioralTimeSeries,running_speed,,0.03316837675350701,3.687483661380553e-06
11,000050,,BehavioralTimeSeries,eye_area,,0.03316837675350701,3.687483661380553e-06
12,000053,House mouse,Position,position,,0.02,4.4258096015066234e-16
13,000053,,SpatialSeries,position,,0.02,4.4258096015066234e-16
14,000053,,SpatialSeries,eye_position,,0.02,4.4258096015066234e-16
15,000055,Human,Position,L_Ear,30.0,,
16,000055,,Position,L_Elbow,30.0,,
17,000055,,Position,L_Shoulder,30.0,,
18,000055,,Position,L_Wrist,30.0,,
19,000055,,Position,Nose,30.0,,
20,000055,,Position,R_Ear,30.0,,
21,000055,,Position,R_Elbow,30.0,,
22,000055,,Position,R_Shoulder,30.0,,
23,000055,,Position,R_Wrist,30.0,,
24,000055,,SpatialSeries,R_Wrist,30.0,,
25,000055,,SpatialSeries,R_Shoulder,30.0,,
26,000055,,SpatialSeries,R_Elbow,30.0,,
27,000055,,SpatialSeries,R_Ear,30.0,,
28,000055,,SpatialSeries,Nose,30.0,,
29,000055,,SpatialSeries,L_Wrist,30.0,,
30,000055,,SpatialSeries,L_Shoulder,30.0,,
31,000055,,SpatialSeries,L_Elbow,30.0,,
32,000055,,SpatialSeries,L_Ear,30.0,,
33,000056,House mouse,Position,BlueLED,39.0625,,
34,000056,,Position,RedLED,39.0625,,
35,000056,,SpatialSeries,RedLED,39.0625,,
36,000056,,SpatialSeries,BlueLED,39.0625,,
37,000059,Rattus norvegicus - Norway rat,Position,SpatialSeries,,0.025000801603206415,6.279935717820347e-06
38,000059,,SpatialSeries,SpatialSeries,,0.025000801603206415,6.279935717820347e-06
39,000070,Rhesus monkey,Position,Cursor,,0.0009999999999999905,6.7156536755742445e-15
